"filename", "language", "Markdown", "JSON with Comments", "TypeScript", "JavaScript", "JSON", "TypeScript JSX", "XML", "PostCSS", "comment", "blank", "total"
"c:\Users\nikhi\Downloads\nikhil-qa-portfolio\components\Spotlight.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 27, 0, 0, 0, 7, 34
"c:\Users\nikhi\Downloads\nikhil-qa-portfolio\components\TestDataGenerator.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 122, 0, 0, 0, 12, 134
"c:\Users\nikhi\Downloads\nikhil-qa-portfolio\components\Testimonials.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 48, 0, 0, 0, 3, 51
"c:\Users\nikhi\Downloads\nikhil-qa-portfolio\components\ThemeProvider.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 9, 0, 0, 0, 3, 12
"c:\Users\nikhi\Downloads\nikhil-qa-portfolio\components\ThemeToggle.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 31, 0, 0, 0, 7, 38
"c:\Users\nikhi\Downloads\nikhil-qa-portfolio\components\TiltCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 64, 0, 0, 0, 10, 74
"c:\Users\nikhi\Downloads\nikhil-qa-portfolio\components\TrustBar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 82, 0, 0, 4, 11, 97
"c:\Users\nikhi\Downloads\nikhil-qa-portfolio\components\WhyHireMe.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 64, 0, 0, 0, 11, 75
"c:\Users\nikhi\Downloads\nikhil-qa-portfolio\eslint.config.mjs", "JavaScript", 0, 0, 0, 14, 0, 0, 0, 0, 2, 3, 19
"c:\Users\nikhi\Downloads\nikhil-qa-portfolio\lib\blog.ts", "TypeScript", 0, 0, 36, 0, 0, 0, 0, 0, 0, 2, 38
"c:\Users\nikhi\Downloads\nikhil-qa-portfolio\lib\products.ts", "TypeScript", 0, 0, 61, 0, 0, 0, 0, 0, 3, 3, 67
"c:\Users\nikhi\Downloads\nikhil-qa-portfolio\lib\projects.ts", "TypeScript", 0, 0, 58, 0, 0, 0, 0, 0, 0, 2, 60
"c:\Users\nikhi\Downloads\nikhil-qa-portfolio\lib\testimonials.ts", "TypeScript", 0, 0, 7, 0, 0, 0, 0, 0, 8, 2, 17
"c:\Users\nikhi\Downloads\nikhil-qa-portfolio\next-env.d.ts", "TypeScript", 0, 0, 1, 0, 0, 0, 0, 0, 4, 2, 7
"c:\Users\nikhi\Downloads\nikhil-qa-portfolio\next.config.ts", "TypeScript", 0, 0, 4, 0, 0, 0, 0, 0, 1, 3, 8
"c:\Users\nikhi\Downloads\nikhil-qa-portfolio\package-lock.json", "JSON", 0, 0, 0, 0, 7381, 0, 0, 0, 0, 1, 7382
"c:\Users\nikhi\Downloads\nikhil-qa-portfolio\package.json", "JSON", 0, 0, 0, 0, 32, 0, 0, 0, 0, 1, 33
"c:\Users\nikhi\Downloads\nikhil-qa-portfolio\postcss.config.mjs", "JavaScript", 0, 0, 0, 6, 0, 0, 0, 0, 0, 2, 8
"c:\Users\nikhi\Downloads\nikhil-qa-portfolio\public\favicon.svg", "XML", 0, 0, 0, 0, 0, 0, 4, 0, 0, 1, 5
"c:\Users\nikhi\Downloads\nikhil-qa-portfolio\public\file.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\nikhi\Downloads\nikhil-qa-portfolio\public\globe.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\nikhi\Downloads\nikhil-qa-portfolio\public\next.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\nikhi\Downloads\nikhil-qa-portfolio\public\vercel.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\nikhi\Downloads\nikhil-qa-portfolio\public\window.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\nikhi\Downloads\nikhil-qa-portfolio\tsconfig.json", "JSON with Comments", 0, 34, 0, 0, 0, 0, 0, 0, 0, 1, 35
"Total", "-", 51, 34, 194, 20, 7413, 2299, 9, 214, 81, 374, 10689
